occupancy,fan_status,light_status,ac_status,projector_status,power_consumption_w,is_break_period,is_after_hours,wastage_label,hour_sin,hour_cos,day_num,room_Class1,room_Class2,room_Class3,room_Lab1,room_Lab2,room_StaffRoom
1,1,1,0,0,460,0,0,0,-0.4999999999999997,-0.8660254037844388,0,True,False,False,False,False,False
1,1,1,0,0,460,0,0,0,-0.7071067811865471,-0.7071067811865479,0,False,False,False,True,False,False
0,1,1,0,0,460,0,1,1,-0.8660254037844385,-0.5000000000000004,0,False,False,False,False,True,False
0,1,1,0,0,460,0,1,1,-0.8660254037844385,-0.5000000000000004,0,False,False,True,False,False,False
0,0,0,0,0,0,0,0,0,0.7071067811865476,-0.7071067811865475,0,False,False,False,False,True,False
1,0,1,0,0,160,0,0,0,1.2246467991473532e-16,-1.0,0,False,False,False,True,False,False
1,1,1,0,1,760,0,0,0,-0.4999999999999997,-0.8660254037844388,1,False,False,False,True,False,False
1,1,1,0,1,760,0,0,0,-0.7071067811865471,-0.7071067811865479,1,False,False,False,True,False,False
1,1,1,0,1,760,1,0,0,-0.2588190451025208,-0.9659258262890683,2,False,False,True,False,False,False
1,1,1,0,0,460,0,0,0,-0.4999999999999997,-0.8660254037844388,2,False,False,False,False,True,False
1,0,1,0,1,460,0,0,0,0.7071067811865476,-0.7071067811865475,2,True,False,False,False,False,False
0,1,1,0,0,460,1,0,1,0.49999999999999994,-0.8660254037844387,2,False,True,False,False,False,False
1,0,1,0,1,460,0,0,0,0.258819045102521,-0.9659258262890682,2,False,True,False,False,False,False
0,0,0,0,0,0,0,0,0,1.2246467991473532e-16,-1.0,2,False,False,False,True,False,False
0,1,1,0,0,460,1,0,1,-0.2588190451025208,-0.9659258262890683,3,False,True,False,False,False,False
0,1,1,0,0,460,0,0,1,-0.7071067811865471,-0.7071067811865479,3,False,False,False,True,False,False
0,1,0,0,0,300,0,1,1,-0.8660254037844385,-0.5000000000000004,3,False,False,True,False,False,False
1,1,1,0,1,760,0,0,0,0.7071067811865476,-0.7071067811865475,3,False,False,False,False,True,False
1,1,1,0,1,760,0,0,0,1.2246467991473532e-16,-1.0,3,False,False,True,False,False,False
0,1,0,0,0,300,1,0,1,-0.2588190451025208,-0.9659258262890683,0,False,True,False,False,False,False
0,1,1,0,0,460,0,0,1,-0.4999999999999997,-0.8660254037844388,0,False,False,False,False,True,False
1,1,1,0,1,760,0,0,0,-0.7071067811865471,-0.7071067811865479,0,False,False,False,True,False,False
1,1,1,0,0,460,0,1,0,-0.8660254037844385,-0.5000000000000004,0,False,True,False,False,False,False
1,1,1,0,1,760,0,0,0,0.8660254037844387,-0.4999999999999998,0,True,False,False,False,False,False
1,1,1,0,1,760,0,0,0,0.7071067811865476,-0.7071067811865475,0,True,False,False,False,False,False
0,1,1,0,1,760,1,0,1,0.49999999999999994,-0.8660254037844387,0,True,False,False,False,False,False
1,1,0,0,0,225,0,0,0,0.258819045102521,-0.9659258262890682,0,False,False,False,False,False,True
0,0,0,0,1,300,1,0,1,-0.2588190451025208,-0.9659258262890683,1,False,False,True,False,False,False
0,1,1,0,0,460,0,0,1,0.7071067811865476,-0.7071067811865475,1,True,False,False,False,False,False
1,1,1,0,1,760,0,0,0,0.49999999999999994,-0.8660254037844387,1,True,False,False,False,False,False
1,1,1,0,0,345,0,0,0,0.49999999999999994,-0.8660254037844387,1,False,False,False,False,False,True
0,1,1,0,0,460,1,0,1,0.49999999999999994,-0.8660254037844387,1,False,False,True,False,False,False
0,0,1,0,0,160,0,0,1,0.258819045102521,-0.9659258262890682,1,False,False,False,True,False,False
1,1,1,0,0,345,0,0,0,1.2246467991473532e-16,-1.0,1,False,False,False,False,False,True
1,1,1,0,1,760,0,0,0,0.7071067811865476,-0.7071067811865475,2,False,False,False,False,True,False
1,1,1,0,1,760,1,0,0,0.49999999999999994,-0.8660254037844387,2,True,False,False,False,False,False
0,0,0,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,2,True,False,False,False,False,False
1,1,1,0,1,760,0,0,0,1.2246467991473532e-16,-1.0,2,False,False,False,True,False,False
1,1,1,0,1,760,0,0,0,1.2246467991473532e-16,-1.0,2,True,False,False,False,False,False
1,1,1,0,0,345,0,1,0,-0.8660254037844385,-0.5000000000000004,3,False,False,False,False,False,True
0,1,0,0,0,300,1,0,1,0.49999999999999994,-0.8660254037844387,3,True,False,False,False,False,False
1,1,1,0,1,760,0,0,0,1.2246467991473532e-16,-1.0,3,True,False,False,False,False,False
0,0,1,0,1,460,1,0,1,-0.2588190451025208,-0.9659258262890683,4,False,False,False,True,False,False
0,1,0,0,1,600,1,0,1,-0.2588190451025208,-0.9659258262890683,4,True,False,False,False,False,False
0,1,1,0,0,460,1,0,1,-0.2588190451025208,-0.9659258262890683,4,False,False,False,True,False,False
0,0,1,0,0,160,1,0,1,-0.2588190451025208,-0.9659258262890683,4,True,False,False,False,False,False
1,1,1,0,0,345,1,0,0,-0.2588190451025208,-0.9659258262890683,4,False,False,False,False,False,True
1,1,1,0,0,345,0,0,0,-0.4999999999999997,-0.8660254037844388,0,False,False,False,False,False,True
1,1,1,0,0,345,0,0,0,0.7071067811865476,-0.7071067811865475,0,False,False,False,False,False,True
1,1,1,0,1,760,0,0,0,0.258819045102521,-0.9659258262890682,0,False,False,True,False,False,False
0,1,0,0,0,300,1,0,1,-0.2588190451025208,-0.9659258262890683,1,False,False,False,True,False,False
0,0,0,0,1,300,0,1,1,-0.8660254037844385,-0.5000000000000004,1,False,False,False,True,False,False
1,1,1,0,1,760,0,0,0,-0.7071067811865471,-0.7071067811865479,2,True,False,False,False,False,False
0,1,0,0,1,600,0,1,1,-0.8660254037844385,-0.5000000000000004,2,False,False,False,True,False,False
1,1,1,0,0,345,0,0,0,0.7071067811865476,-0.7071067811865475,2,False,False,False,False,False,True
0,1,0,0,0,225,1,0,1,0.49999999999999994,-0.8660254037844387,2,False,False,False,False,False,True
1,1,1,0,1,760,0,0,0,0.258819045102521,-0.9659258262890682,2,True,False,False,False,False,False
1,1,1,0,0,460,0,0,0,0.258819045102521,-0.9659258262890682,2,True,False,False,False,False,False
0,1,0,0,0,300,1,0,1,-0.2588190451025208,-0.9659258262890683,3,True,False,False,False,False,False
0,0,1,0,0,160,0,0,1,-0.7071067811865471,-0.7071067811865479,3,False,False,False,False,True,False
0,0,1,0,0,160,0,1,1,-0.8660254037844385,-0.5000000000000004,3,False,False,False,False,True,False
1,1,1,0,1,760,0,0,0,0.7071067811865476,-0.7071067811865475,3,True,False,False,False,False,False
1,0,1,0,0,120,0,0,0,0.7071067811865476,-0.7071067811865475,3,False,False,False,False,False,True
1,1,1,0,1,760,0,0,0,0.49999999999999994,-0.8660254037844387,3,False,False,False,True,False,False
1,1,1,0,1,760,0,0,0,0.258819045102521,-0.9659258262890682,3,False,False,True,False,False,False
1,1,1,0,1,760,0,0,0,1.2246467991473532e-16,-1.0,3,False,False,False,False,True,False
1,1,0,0,0,225,0,0,0,-0.4999999999999997,-0.8660254037844388,4,False,False,False,False,False,True
1,1,1,0,1,760,0,0,0,-0.7071067811865471,-0.7071067811865479,4,False,True,False,False,False,False
1,1,1,0,1,760,0,0,0,-0.7071067811865471,-0.7071067811865479,4,False,False,False,False,True,False
1,1,1,0,0,345,0,1,0,-0.8660254037844385,-0.5000000000000004,4,False,False,False,False,False,True
1,1,1,0,1,760,0,0,0,-0.7071067811865471,-0.7071067811865479,5,False,False,True,False,False,False
0,1,1,0,0,460,0,1,1,-0.8660254037844385,-0.5000000000000004,5,False,False,False,False,True,False
0,0,1,0,0,160,0,1,1,-0.8660254037844385,-0.5000000000000004,5,False,False,False,True,False,False
1,1,1,0,0,345,0,0,0,0.7071067811865476,-0.7071067811865475,5,False,False,False,False,False,True
0,1,1,0,0,460,1,0,1,-0.2588190451025208,-0.9659258262890683,0,False,False,False,False,True,False
1,1,1,0,1,760,0,0,0,0.258819045102521,-0.9659258262890682,0,True,False,False,False,False,False
0,1,1,0,0,460,1,0,1,-0.2588190451025208,-0.9659258262890683,1,False,False,False,True,False,False
1,1,1,0,1,760,0,0,0,0.7071067811865476,-0.7071067811865475,1,False,True,False,False,False,False
1,1,1,0,1,760,0,0,0,0.49999999999999994,-0.8660254037844387,1,False,False,True,False,False,False
1,1,1,0,1,760,0,0,0,-0.4999999999999997,-0.8660254037844388,2,False,False,False,True,False,False
1,1,1,0,0,345,0,0,0,0.8660254037844387,-0.4999999999999998,2,False,False,False,False,False,True
1,1,1,0,1,760,0,0,0,1.2246467991473532e-16,-1.0,2,False,True,False,False,False,False
0,1,0,0,0,300,0,0,1,1.2246467991473532e-16,-1.0,2,False,False,True,False,False,False
0,1,0,0,1,600,0,1,1,-0.8660254037844385,-0.5000000000000004,3,False,False,False,False,True,False
0,0,1,0,0,160,0,1,1,-0.8660254037844385,-0.5000000000000004,3,True,False,False,False,False,False
